"file","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium"
"HCR-A_Ftrgt-0.4_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.4,150000,"A",FALSE,FALSE,54778.7996,47924.787,54870.337,0.0709,0.0676,0.0776,0.0708,0.078,0.185,0.081,0.224393203932274,0.294753722445705,0.204256552049215
"HCR-A_Ftrgt-0.4_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.4,160000,"A",FALSE,FALSE,54787.2546,47732.4972,54683.9704,0.0597,0.0552,0.069,0.0594,0.063,0.185,0.072,0.237327015137667,0.321474161901065,0.217250963630645
"HCR-A_Ftrgt-0.4_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.4,170000,"A",FALSE,FALSE,54789.459,47525.0128,54474.5594,0.05085,0.0458,0.0624,0.0494,0.054,0.185,0.065,0.249116894999325,0.34753570410667,0.230077328647149
"HCR-A_Ftrgt-0.4_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.4,180000,"A",FALSE,FALSE,54777.9447,47304.3986,54252.0472,0.0434,0.0371,0.0586,0.0408,0.045,0.185,0.054,0.259217272955541,0.372933669379232,0.241855273700511
"HCR-A_Ftrgt-0.4_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.4,190000,"A",FALSE,FALSE,54749.2211,47042.9246,54047.7516,0.0374,0.0292,0.0568,0.0344,0.037,0.185,0.047,0.268085836578208,0.396532623711339,0.252360765353891
"HCR-A_Ftrgt-0.407_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.407,150000,"A",FALSE,FALSE,54794.5548,48311.6324,54798.5786,0.07775,0.0756,0.0802,0.0796,0.084,0.185,0.091,0.232167223094635,0.291725250243359,0.211137885191634
"HCR-A_Ftrgt-0.41_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.41,180000,"A",FALSE,FALSE,54817.2026,47833.0484,54145.2872,0.0497,0.044,0.0616,0.0492,0.053,0.185,0.066,0.270070507515814,0.367546573087751,0.252101640373929
"HCR-A_Ftrgt-0.41_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.41,190000,"A",FALSE,FALSE,54791.1009,47569.4268,53940.4414,0.04275,0.0361,0.0582,0.0406,0.044,0.185,0.054,0.27800238776921,0.39113291065955,0.262459309444399
"HCR-A_Ftrgt-0.42_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.42,180000,"A",FALSE,FALSE,54849.5609,48336.3902,54034.0522,0.05555,0.0514,0.0626,0.0568,0.058,0.185,0.076,0.281014748865865,0.362284427578148,0.262362271360846
"HCR-A_Ftrgt-0.42_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.42,190000,"A",FALSE,FALSE,54826.1127,48066.2572,53836.1684,0.0471,0.0413,0.0592,0.0466,0.05,0.185,0.061,0.288268586199581,0.385473696851146,0.272425184474081
"HCR-A_Ftrgt-0.43_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.43,190000,"A",FALSE,FALSE,54855.3015,48542.3606,53730.3342,0.0526,0.0472,0.061,0.055,0.057,0.185,0.076,0.298616134810952,0.379909322543767,0.282334993903214
"HCR-A_Ftrgt-0.44_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.44,190000,"A",FALSE,FALSE,54876.8882,48997.9416,53628.3836,0.0599,0.0559,0.0626,0.0652,0.065,0.185,0.083,0.30896135167473,0.374441909185576,0.292166267959469
"HCR-A_Ftrgt-0.46_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.46,150000,"A",FALSE,FALSE,54840.7494,50878.9328,54105.6706,0.1423,0.149,0.1092,0.162,0.163,0.185,0.185,0.296025062184924,0.271064478383046,0.26787265630897
"HCR-A_Ftrgt-0.5_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.5,110000,"A",FALSE,FALSE,54384.2099630233,53396.3658,53978.0734,0.3241,0.337,0.277,0.3454,0.362,0.321,0.352,0.275966943338076,0.165280808468095,0.257117838321047
"HCR-A_Ftrgt-0.5_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.5,130000,"A",FALSE,FALSE,54588.2549775101,52903.56,53890.821,0.26,0.2784,0.1958,0.2874,0.304,0.212,0.311,0.318565123834458,0.211520189602563,0.28660528707127
"HCR-A_Ftrgt-0.5_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.5,150000,"A",FALSE,FALSE,54778.1373,52417.2796,53634.0624,0.2007,0.2158,0.1338,0.2374,0.248,0.185,0.266,0.35048235798438,0.257746900403251,0.313484856155967
"HCR-A_Ftrgt-0.5_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.5,170000,"A",FALSE,FALSE,54885.0206,51888.0668,53378.5282,0.1507,0.1607,0.1014,0.18,0.184,0.185,0.231,0.368410424709826,0.301588282554362,0.335259612119189
"HCR-A_Ftrgt-0.5_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.5,190000,"A",FALSE,FALSE,54901.7522,51309.2724,53155.434,0.1143,0.1193,0.08,0.1386,0.135,0.185,0.183,0.374802274550337,0.343229027326656,0.349551963991669
